## Generated on 2015-11-18 at 01:46:33 AM GMT using Sketchup version 14.1.1282
## Using FindSUConstants version 1.2, see https://github.com/MSP-Greg/SketchUp
## Found the following --
##   177 Constants at object / root
##   126 Constants defined in Sketchup classes
##    87 Sketchup  defined classes / modules with no constants
##

CONSTRAIN_MODIFIER_KEY                     16                                 Fixnum
CONSTRAIN_MODIFIER_MASK                    4                                  Fixnum
COPY_MODIFIER_KEY                          17                                 Fixnum

COPY_MODIFIER_MASK                         8                                  Fixnum
DimensionArrowClosed                       3                                  Fixnum
DimensionArrowDot                          2                                  Fixnum
DimensionArrowNone                         0                                  Fixnum
DimensionArrowOpen                         4                                  Fixnum

DimensionArrowSlash                        1                                  Fixnum
FILE_WRITE_FAILED_INVALID_TYPE             1                                  Fixnum
FILE_WRITE_FAILED_UNKNOWN                  2                                  Fixnum
FILE_WRITE_OK                              0                                  Fixnum
GL_LINES                                   1                                  Fixnum

GL_LINE_LOOP                               2                                  Fixnum
GL_LINE_STRIP                              3                                  Fixnum
GL_POINTS                                  0                                  Fixnum
GL_POLYGON                                 9                                  Fixnum
GL_QUADS                                   7                                  Fixnum

GL_QUAD_STRIP                              8                                  Fixnum
GL_TRIANGLES                               4                                  Fixnum
GL_TRIANGLE_FAN                            6                                  Fixnum
GL_TRIANGLE_STRIP                          5                                  Fixnum
IDABORT                                    3                                  Fixnum

IDCANCEL                                   2                                  Fixnum
IDENTITY                                   #<Geom::Transformation:0xd82f220>  Geom::Transformation
IDIGNORE                                   5                                  Fixnum
IDNO                                       7                                  Fixnum
IDOK                                       1                                  Fixnum

IDRETRY                                    4                                  Fixnum
IDYES                                      6                                  Fixnum
LAYER_HIDDEN_BY_DEFAULT                    1                                  Fixnum
LAYER_IS_HIDDEN_ON_NEW_PAGES               32                                 Fixnum
LAYER_IS_VISIBLE_ON_NEW_PAGES              16                                 Fixnum

LAYER_USES_DEFAULT_VISIBILITY_ON_NEW_PAGES 0                                  Fixnum
LAYER_VISIBLE_BY_DEFAULT                   0                                  Fixnum
MB_ABORTRETRYIGNORE                        2                                  Fixnum
MB_MULTILINE                               16                                 Fixnum
MB_OK                                      0                                  Fixnum

MB_OKCANCEL                                1                                  Fixnum
MB_RETRYCANCEL                             5                                  Fixnum
MB_YESNO                                   4                                  Fixnum
MB_YESNOCANCEL                             3                                  Fixnum
MF_CHECKED                                 8                                  Fixnum

MF_DISABLED                                2                                  Fixnum
MF_ENABLED                                 0                                  Fixnum
MF_GRAYED                                  1                                  Fixnum
MF_UNCHECKED                               0                                  Fixnum
MK_ALT                                     32                                 Fixnum

MK_COMMAND                                 0                                  Fixnum
MK_CONTROL                                 8                                  Fixnum
MK_LBUTTON                                 1                                  Fixnum
MK_MBUTTON                                 16                                 Fixnum
MK_RBUTTON                                 2                                  Fixnum

MK_SHIFT                                   4                                  Fixnum
ORIGIN                                     (0", 0", 0")                       Geom::Point3d
PAGE_NO_CAMERA                             4094                               Fixnum
PAGE_USE_ALL                               4095                               Fixnum
PAGE_USE_CAMERA                            1                                  Fixnum

PAGE_USE_HIDDEN                            16                                 Fixnum
PAGE_USE_LAYER_VISIBILITY                  32                                 Fixnum
PAGE_USE_RENDERING_OPTIONS                 2                                  Fixnum
PAGE_USE_SECTION_PLANES                    64                                 Fixnum
PAGE_USE_SHADOWINFO                        4                                  Fixnum

PAGE_USE_SKETCHCS                          8                                  Fixnum
RUBY_COPYRIGHT                             ruby - Copyright (C) 1993-2013 Yukihiro MatsumotoString
RUBY_DESCRIPTION                           ruby 2.0.0p247 (2013-06-27) [i386-mingw32]String
RUBY_ENGINE                                ruby                               String
RUBY_PATCHLEVEL                            247                                Fixnum

RUBY_PLATFORM                              i386-mingw32                       String
RUBY_RELEASE_DATE                          2013-06-27                         String
RUBY_REVISION                              0                                  Fixnum
RUBY_VERSION                               2.0.0                              String
SB_PROMPT                                  0                                  Fixnum

SB_VCB_LABEL                               1                                  Fixnum
SB_VCB_VALUE                               2                                  Fixnum
SKETCHUP_CONSOLE                           #<Sketchup::Console:0xd82e5d8>     Sketchup::Console
SnapTo_Arbitrary                           0                                  Fixnum
SnapTo_Horizontal                          1                                  Fixnum

SnapTo_Sloped                              3                                  Fixnum
SnapTo_Vertical                            2                                  Fixnum
TB_HIDDEN                                  0                                  Fixnum
TB_NEVER_SHOWN                             -1                                 Fixnum
TB_VISIBLE                                 1                                  Fixnum

TextAlignCenter                            1                                  Fixnum
TextAlignLeft                              0                                  Fixnum
TextAlignRight                             2                                  Fixnum
VK_ALT                                     18                                 Fixnum
VK_COMMAND                                 18                                 Fixnum

VK_CONTROL                                 17                                 Fixnum
VK_DELETE                                  46                                 Fixnum
VK_DOWN                                    40                                 Fixnum
VK_END                                     35                                 Fixnum
VK_HOME                                    36                                 Fixnum

VK_INSERT                                  45                                 Fixnum
VK_LEFT                                    37                                 Fixnum
VK_MENU                                    18                                 Fixnum
VK_NEXT                                    34                                 Fixnum
VK_PRIOR                                   33                                 Fixnum

VK_RIGHT                                   39                                 Fixnum
VK_SHIFT                                   16                                 Fixnum
VK_SPACE                                   32                                 Fixnum
VK_UP                                      38                                 Fixnum
X_AXIS                                     (1.0, 0.0, 0.0)                    Geom::Vector3d

Y_AXIS                                     (0.0, 1.0, 0.0)                    Geom::Vector3d
Z_AXIS                                     (0.0, 0.0, 1.0)                    Geom::Vector3d

Sketchup::Dimension::                                                         Module
  ARROW_CLOSED                             3                                  Fixnum
  ARROW_DOT                                2                                  Fixnum
  ARROW_NONE                               0                                  Fixnum
  ARROW_OPEN                               4                                  Fixnum
  ARROW_SLASH                              1                                  Fixnum


Sketchup::DimensionLinear::                                                   Module
  ALIGNED_TEXT_ABOVE                       0                                  Fixnum
  ALIGNED_TEXT_CENTER                      1                                  Fixnum
  ALIGNED_TEXT_OUTSIDE                     2                                  Fixnum
  ARROW_CLOSED                             3                                  Fixnum
  ARROW_DOT                                2                                  Fixnum

  ARROW_NONE                               0                                  Fixnum
  ARROW_OPEN                               4                                  Fixnum
  ARROW_SLASH                              1                                  Fixnum
  TEXT_CENTERED                            1                                  Fixnum
  TEXT_OUTSIDE_END                         2                                  Fixnum

  TEXT_OUTSIDE_START                       0                                  Fixnum


Sketchup::DimensionRadial::                                                   Module
  ARROW_CLOSED                             3                                  Fixnum
  ARROW_DOT                                2                                  Fixnum
  ARROW_NONE                               0                                  Fixnum
  ARROW_OPEN                               4                                  Fixnum
  ARROW_SLASH                              1                                  Fixnum


Sketchup::Face::                                                              Module
  PointInside                              1                                  Fixnum
  PointNotOnPlane                          32                                 Fixnum
  PointOnEdge                              4                                  Fixnum
  PointOnFace                              8                                  Fixnum
  PointOnVertex                            2                                  Fixnum

  PointOutside                             16                                 Fixnum
  PointUnknown                             0                                  Fixnum


Sketchup::Importer::                                                          Module
  ImportCanceled                           2                                  Fixnum
  ImportFail                               1                                  Fixnum
  ImportFileNotFound                       4                                  Fixnum
  ImportSuccess                            0                                  Fixnum
  ImporterNotFound                         3                                  Fixnum


Sketchup::Model::                                                             Module
  VERSION_2013                             9                                  Fixnum
  VERSION_2014                             10                                 Fixnum
  VERSION_3                                3                                  Fixnum
  VERSION_4                                4                                  Fixnum
  VERSION_5                                5                                  Fixnum

  VERSION_6                                6                                  Fixnum
  VERSION_7                                7                                  Fixnum
  VERSION_8                                8                                  Fixnum


Sketchup::Pages::                                                             Module
  ImageEmbedded                            0                                  Fixnum
  ImageEmbeddedAndLinked                   1                                  Fixnum
  ImageLinked                              2                                  Fixnum
  UnitsNormalizedX                         2                                  Fixnum
  UnitsNormalizedY                         1                                  Fixnum

  UnitsPixels                              0                                  Fixnum


Sketchup::RenderingOptions::                                                  Module
  ROPAssign                                0                                  Fixnum
  ROPDrawHidden                            27                                 Fixnum
  ROPEditComponent                         28                                 Fixnum
  ROPSetBackgroundColor                    12                                 Fixnum
  ROPSetConstructionColor                  15                                 Fixnum

  ROPSetDepthQueEdges                      30                                 Fixnum
  ROPSetDepthQueWidth                      32                                 Fixnum
  ROPSetDisplayColorByLayer                16                                 Fixnum
  ROPSetDisplayDims                        53                                 Fixnum
  ROPSetDisplayFog                         19                                 Fixnum

  ROPSetDisplayInstanceAxes                11                                 Fixnum
  ROPSetDisplaySketchAxes                  36                                 Fixnum
  ROPSetDisplayText                        52                                 Fixnum
  ROPSetDrawGround                         49                                 Fixnum
  ROPSetDrawHorizon                        48                                 Fixnum

  ROPSetDrawUnderground                    50                                 Fixnum
  ROPSetEdgeColorMode                      5                                  Fixnum
  ROPSetEdgeDisplayMode                    4                                  Fixnum
  ROPSetEdgeType                           38                                 Fixnum
  ROPSetExtendEdges                        7                                  Fixnum

  ROPSetExtendLines                        17                                 Fixnum
  ROPSetFaceColor                          37                                 Fixnum
  ROPSetFaceColorMode                      10                                 Fixnum
  ROPSetFogColor                           22                                 Fixnum
  ROPSetFogDist                            23                                 Fixnum

  ROPSetFogHint                            24                                 Fixnum
  ROPSetFogUseBkColor                      54                                 Fixnum
  ROPSetForegroundColor                    13                                 Fixnum
  ROPSetGroundColor                        47                                 Fixnum
  ROPSetGroundTransparency                 51                                 Fixnum

  ROPSetHideConstructionGeometry           45                                 Fixnum
  ROPSetHighlightColor                     14                                 Fixnum
  ROPSetJitterEdges                        6                                  Fixnum
  ROPSetLineEndEdges                       31                                 Fixnum
  ROPSetLineEndWidth                       33                                 Fixnum

  ROPSetLineExtension                      18                                 Fixnum
  ROPSetLockedColor                        35                                 Fixnum
  ROPSetMaterialTransparency               40                                 Fixnum
  ROPSetModelTransparency                  39                                 Fixnum
  ROPSetProfileEdges                       8                                  Fixnum

  ROPSetProfileWidth                       9                                  Fixnum
  ROPSetProfilesOnlyEdges                  34                                 Fixnum
  ROPSetRenderMode                         1                                  Fixnum
  ROPSetSectionActiveColor                 41                                 Fixnum
  ROPSetSectionCutWidth                    44                                 Fixnum

  ROPSetSectionDefaultCutColor             43                                 Fixnum
  ROPSetSectionDisplayMode                 25                                 Fixnum
  ROPSetSectionInactiveColor               42                                 Fixnum
  ROPSetSkyColor                           46                                 Fixnum
  ROPSetTexture                            3                                  Fixnum

  ROPSetTransparencyObsolete               2                                  Fixnum
  ROPTransparencySortMethod                29                                 Fixnum


Geom::PolygonMesh::                                                           Module
  AUTO_SOFTEN                              4                                  Fixnum
  HIDE_BASED_ON_INDEX                      1                                  Fixnum
  NO_SMOOTH_OR_HIDE                        0                                  Fixnum
  SMOOTH_SOFT_EDGES                        8                                  Fixnum
  SOFTEN_BASED_ON_INDEX                    2                                  Fixnum


Length::                                                                      Module
  Architectural                            1                                  Fixnum
  Centimeter                               3                                  Fixnum
  DIG                                      15                                 Fixnum
  Decimal                                  0                                  Fixnum
  EPSILON                                  2.220446049250313e-16              Float

  Engineering                              2                                  Fixnum
  Feet                                     1                                  Fixnum
  Fractional                               3                                  Fixnum
  INFINITY                                 Infinity                           Float
  Inches                                   0                                  Fixnum

  MANT_DIG                                 53                                 Fixnum
  MAX                                      1.7976931348623157e+308            Float
  MAX_10_EXP                               308                                Fixnum
  MAX_EXP                                  1024                               Fixnum
  MIN                                      2.2250738585072014e-308            Float

  MIN_10_EXP                               -307                               Fixnum
  MIN_EXP                                  -1021                              Fixnum
  Meter                                    4                                  Fixnum
  Millimeter                               2                                  Fixnum
  NAN                                      NaN                                Float

  RADIX                                    2                                  Fixnum
  ROUNDS                                   1                                  Fixnum


Sketchup                                   no constants                       Module
Sketchup::AppObserver                      no constants                       Class
Sketchup::ArcCurve                         no constants                       Class
Sketchup::AttributeDictionaries            no constants                       Class
Sketchup::AttributeDictionary              no constants                       Class

Sketchup::Behavior                         no constants                       Class
Sketchup::Camera                           no constants                       Class
Sketchup::Classifications                  no constants                       Class
Sketchup::Color                            no constants                       Class
Sketchup::ComponentDefinition              no constants                       Class

Sketchup::ComponentInstance                no constants                       Class
Sketchup::Console                          no constants                       Class
Sketchup::ConstructionLine                 no constants                       Class
Sketchup::ConstructionPoint                no constants                       Class
Sketchup::Curve                            no constants                       Class

Sketchup::DefinitionList                   no constants                       Class
Sketchup::DefinitionObserver               no constants                       Class
Sketchup::DefinitionsObserver              no constants                       Class
Sketchup::DimensionObserver                no constants                       Class
Sketchup::Drawingelement                   no constants                       Class

Sketchup::Edge                             no constants                       Class
Sketchup::EdgeUse                          no constants                       Class
Sketchup::Entities                         no constants                       Class
Sketchup::EntitiesObserver                 no constants                       Class
Sketchup::Entity                           no constants                       Class

Sketchup::EntityObserver                   no constants                       Class
Sketchup::ExtensionsManager                no constants                       Class
Sketchup::Group                            no constants                       Class
Sketchup::HLR                              no constants                       Class
Sketchup::Image                            no constants                       Class

Sketchup::InputPoint                       no constants                       Class
Sketchup::InstanceObserver                 no constants                       Class
Sketchup::Layer                            no constants                       Class
Sketchup::Layers                           no constants                       Class
Sketchup::LayersObserver                   no constants                       Class

Sketchup::Loop                             no constants                       Class
Sketchup::Material                         no constants                       Class
Sketchup::Materials                        no constants                       Class
Sketchup::MaterialsObserver                no constants                       Class
Sketchup::Menu                             no constants                       Class

Sketchup::ModelObserver                    no constants                       Class
Sketchup::OptionsManager                   no constants                       Class
Sketchup::OptionsProvider                  no constants                       Class
Sketchup::OptionsProviderObserver          no constants                       Class
Sketchup::Page                             no constants                       Class

Sketchup::PagesObserver                    no constants                       Class
Sketchup::PickHelper                       no constants                       Class
Sketchup::RenderingOptionsObserver         no constants                       Class
Sketchup::SandboxTools                     no constants                       Module
Sketchup::SectionPlane                     no constants                       Class

Sketchup::Selection                        no constants                       Class
Sketchup::SelectionObserver                no constants                       Class
Sketchup::Set                              no constants                       Class
Sketchup::ShadowInfo                       no constants                       Class
Sketchup::ShadowInfoObserver               no constants                       Class

Sketchup::Style                            no constants                       Class
Sketchup::Styles                           no constants                       Class
Sketchup::Text                             no constants                       Class
Sketchup::Texture                          no constants                       Class
Sketchup::TextureWriter                    no constants                       Class

Sketchup::Tools                            no constants                       Class
Sketchup::ToolsObserver                    no constants                       Class
Sketchup::UVHelper                         no constants                       Class
Sketchup::Vertex                           no constants                       Class
Sketchup::View                             no constants                       Class

Sketchup::ViewObserver                     no constants                       Class
Sketchup::WebTextures                      no constants                       Module
Array                                      no constants                       Class
Config                                     no constants                       Module
Date                                       no constants                       Class

Geom                                       no constants                       Module
Geom::BoundingBox                          no constants                       Class
Geom::LatLong                              no constants                       Class
Geom::Point3d                              no constants                       Class
Geom::Transformation                       no constants                       Class

Geom::UTM                                  no constants                       Class
Geom::Vector3d                             no constants                       Class
LanguageHandler                            no constants                       Class
Numeric                                    no constants                       Class
SKSocket                                   no constants                       Module

SketchupExtension                          no constants                       Class
String                                     no constants                       Class
Test                                       no constants                       Module
UI                                         no constants                       Module
UI::Command                                no constants                       Class

UI::Toolbar                                no constants                       Class
UI::WebDialog                              no constants                       Class
